date,hs300_benchmark,base_pool,resource_risk,resource_cap_70,resource_cap_60,resource_abs_08,resource_abs_10,resource_margin_03,resource_margin_05,resource_margin_03_cap_70
2024-11-12,1.0361256544502622,1.501395074405196,1.598978009007218,1.6072281937483857,1.6098256711266419,1.6492443346915153,1.5707631211655286,1.588253167666841,1.5590103416561716,1.5971246908559606
2024-11-13,1.0429319371727754,1.4910406256161948,1.5879505744623408,1.596143861377707,1.598723425118872,1.6378702358315738,1.5599302720540422,1.5772996975450007,1.5482585461964737,1.5861100378155748
2024-11-14,1.0243455497382203,1.4962178500106955,1.5934642917347797,1.6016860275630465,1.6042745481227572,1.6435572852615448,1.5653466966097855,1.582776432605921,1.5536344439263228,1.5916173643357678
2024-11-15,1.0062827225130895,1.4737229885415692,1.5695073803142154,1.5776055065969263,1.5801551100889117,1.6188472515934746,1.541812518688342,1.5589802076191563,1.5302763536659134,1.5676882205133404
2024-11-18,1.001832460732985,1.4400209234215189,1.5336148548199255,1.5415277878326308,1.544019085317595,1.581826389520467,1.5065533374773827,1.5233284244234242,1.4952809890526761,1.5318372967600489
2024-11-19,1.0070680628272257,1.4389073187861459,1.5324288716279961,1.5403356853692804,1.5428250562708303,1.5806031231282398,1.5053882816418984,1.5221503959885296,1.4941246504095973,1.5306526881987674
2024-11-20,1.0096858638743462,1.4390286689994345,1.5325581089791402,1.5404655895413668,1.5429551703839504,1.5807364232536976,1.5055152385255521,1.522278766504684,1.4942506573751884,1.5307817757555258
2024-11-21,1.0109947643979067,1.436195935399042,1.5295412623079214,1.5374331769635294,1.539917857056423,1.577624737381151,1.5025516258512892,1.519282154759596,1.4913092190732686,1.5277684258032511
2024-11-22,0.9795811518324615,1.37954126339119,1.469204328883546,1.4767849254067826,1.4791715905058738,1.515391019930218,1.4432793723660313,1.4593499198578368,1.4324804530348754,1.467501426757758
2024-11-25,0.9738219895287966,1.3610537302218066,1.4495152014296366,1.4569942087265224,1.459348889606399,1.495082934562277,1.4239376709052773,1.439792853487247,1.4132834702459192,1.4478351202664181
2024-11-26,0.9717277486911002,1.362388058116548,1.45093625375415,1.4584225931995318,1.4607795825234555,1.4965486598457403,1.4253336479431216,1.4412043743731595,1.4146690022904318,1.4492545255000695
2024-11-27,0.9884816753926708,1.3709189789563512,1.4600216404401498,1.4675548574024095,1.469926605582463,1.505919659594305,1.4342587177486517,1.4502288225533297,1.4235272928495455,1.458329381639707
2024-11-28,0.9808900523560217,1.3632411502005286,1.4518447924227502,1.4593358196198198,1.4616942848293566,1.497485759820597,1.426226154923675,1.4421068191911768,1.4155548313463435,1.4501620111140334
2024-11-29,0.9921465968586396,1.361534966032568,1.4500277150855503,1.4575093667792443,1.4598648802175551,1.4956115598708841,1.424441140962569,1.4403019295551427,1.4137831732345207,1.4483470398861058
