date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict,hs300_benchmark
2025-07-16,14.171341387915191,8.6593189017819,8.565338382357256,7.6703973893890955,9.428961534530169,9.448983939934191,9.641176146028224,1.901305268867533
2025-07-17,14.45307779721768,8.831472359073787,8.73562343966058,7.822890379237785,9.61641603819876,9.636836503352367,9.832849628056618,1.9167250461771002
2025-07-18,14.50942507907818,8.865903050532166,8.769680451121246,7.8533889772075245,9.65390693893248,9.674407016036003,9.871184324462298,1.9307430255494336
2025-07-21,14.622119642799175,8.93476443344892,8.837794474042575,7.914386173146999,9.728888740399915,9.749548041403273,9.947853717273656,1.9424246750263783
2025-07-22,14.692553745124796,8.977802797771892,8.880365738368406,7.9525094206091715,9.775752366317063,9.796511182257817,9.995772087780754,1.962984378105801
2025-07-23,14.692553745124796,8.977802797771892,8.880365738368406,7.9525094206091715,9.775752366317063,9.796511182257817,9.995772087780754,1.9620498461476457
2025-07-24,14.89968297240708,9.104367953731403,9.005557269077126,8.064620436830053,9.916343244068509,9.93740060482145,10.139527199302051,1.974198761603668
2025-07-25,14.847540398465268,9.072506525531887,8.974041636384827,8.036397684156803,9.878873387306582,9.899851180796494,10.101214020498086,1.963918910063957
2025-07-28,14.996081604075302,9.1632717985024,9.063821824085212,8.116797276865757,9.98050044269152,10.001694041293744,10.205128363406388,1.9690588358338132
2025-07-29,15.286391154664658,9.340663825832287,9.239288596662462,8.273930575542355,10.173713221514172,10.19531710756668,10.4026897202399,1.9788714213944467
2025-07-30,15.121800220166849,9.240091455783094,9.13980774936283,8.184843887152665,10.0613533120014,10.082718601719497,10.287800962300087,1.977469623457213
2025-07-31,14.79731705535552,9.041817832598994,8.943686011137167,8.009213736686318,9.848214575031927,9.869127264515813,10.069865180173997,1.9414901430682232
2025-08-01,14.75503900662593,9.015984067362997,8.918132622533918,7.9863302688672135,9.817327197593915,9.838174297713515,10.038282630443765,1.9312102915285119
2025-08-04,14.825502421175242,9.059040342756326,8.960721603539334,8.024469381899054,9.864210326522253,9.885156982993905,10.086220942910069,1.94008834513099
2025-08-05,14.895965835724551,9.102096618149654,9.003310584544748,8.062608494930894,9.911093455450589,9.932139668274292,10.13415925537637,1.9545735904824013
2025-08-06,14.980521933183727,9.153764148621649,9.054417361751247,8.108375430569101,9.967353210164594,9.98851889061076,10.191685230335933,1.9597135162522568
2025-08-07,14.853687786994966,9.076262852913658,8.9777571959415,8.03972502711179,9.882963578093587,9.903950057106059,10.10539626789659,1.959246250273179
2025-08-08,14.82550242117524,9.059040342756326,8.960721603539334,8.024469381899054,9.864210326522251,9.885156982993902,10.086220942910067,1.954573590482401
2025-08-11,15.149634128102074,9.257099209565636,9.156630916164241,8.199909301845516,10.079872719592602,10.10127733528369,10.306737180255057,1.9634516440848793
2025-08-12,15.36102437175001,9.386268035745623,9.284397859180487,8.314326640941035,10.220522106377617,10.242225391124858,10.450552117653965,1.9756005595409019
2025-08-13,15.967009736874092,9.756552004128247,9.650663095827056,8.642323013014854,10.62371701516132,10.646276484536205,10.862821604864166,1.9919548688086246
2025-08-14,15.868360956505054,9.696273218577586,9.591038522419474,8.588928254770277,10.558080634661646,10.58050072514366,10.79570796741134,1.98868400695508
2025-08-15,16.30523412671079,9.963222126016223,9.855090204653049,8.825390755567684,10.848756034017342,10.871793373882074,11.092925504702418,2.0069073801391135
2025-08-18,16.756199979826388,10.238782288533526,10.127659683087707,9.069481078971458,11.148808059158704,11.172482559676567,11.399730704486755,2.021859891469603
