date,base_pool,plus_resource_510410,plus_resource_510410__cash_tail,plus_energy_159930,plus_energy_159930__cash_tail
2019-07-30,2.348985362137595,2.2866736569814807,2.277394008193696,1.6110980221088096,1.6048257119300133
2019-07-31,2.3318588197084695,2.2700014315861647,2.2607894410738436,1.599351444595863,1.5931248660713109
2019-08-01,2.307075295203546,2.245875341434205,2.2367612580467373,1.5823531746388153,1.5761927736032866
2019-08-02,2.2899504288089036,2.2292047476130836,2.220158315879918,1.5706077466672341,1.5644930728105668
2019-08-05,2.334972292402799,2.2730323129644012,2.2638080227019075,1.6014868813595724,1.5952519891746684
2019-08-06,2.339139229006944,2.2770887129388733,2.267847961225052,1.6043448571602736,1.598098838333502
2019-08-07,2.3866884791111507,2.323376620635143,2.3139480259708285,1.6369574498270634,1.6305844639913736
2019-08-08,2.4030113560125947,2.339266499396549,2.329773421331319,1.6481528174589464,1.641736245933628
2019-08-09,2.415076091113662,2.3510111923941097,2.341470452684725,1.656427654404251,1.6499788673692073
2019-08-12,2.4029129787432,2.3391707317881183,2.329678042361542,1.648085343464984,1.6416690346287222
2019-08-13,2.450090217592564,2.3850964965990973,2.3754174338496576,1.6804427848624044,1.6739005023695108
2019-08-14,2.399744929427314,2.3360867215463252,2.3266065474744497,1.64591247424705,1.6395046248027838
2019-08-15,2.4265136007541304,2.3621452983863804,2.352559374882247,1.6642722963746213,1.6577929686604849
2019-08-16,2.4291136804419686,2.364676405571664,2.355080210472521,1.6660556124011585,1.6595693418994872
2019-08-19,2.4194512218125417,2.3552702636834586,2.3457122400535604,1.6594284242383461,1.6529679546371787
2019-08-20,2.3960695603119198,2.3325088492141597,2.32304319465999,1.643391649720948,1.6369936143246895
2019-08-21,2.3791062359911277,2.315995512228573,2.3065968711579727,1.6317570185724815,1.625404279002037
2019-08-22,2.3825727432165507,2.319370063165279,2.3099577276842793,1.6341345910446328,1.6277725951335975
2019-08-23,2.388884656620649,2.325514539984481,2.316077269337638,1.6384637415642473,1.6320848914491244
2019-08-26,2.359287855565172,2.296702855418302,2.2873825067086764,1.6181641907838056,1.611864370670109
2019-08-27,2.401568999930139,2.337862404798558,2.3283750247500503,1.6471635490415797,1.6407508289258455
2019-08-28,2.384656542184152,2.3213985850464556,2.3119780175335007,1.63556380573847,1.6291962456235507
2019-08-29,2.404685816540941,2.3408965413889526,2.3313968483801557,1.6493012792964712,1.642880236591389
2019-08-30,2.373927422926841,2.310954077914244,2.301575895705223,1.6282050273088362,1.621866116314091
2019-09-02,2.367430928268888,2.304629916241503,2.295277398385163,1.623749278089291,1.6174277141713844
2019-09-03,2.3775556820937234,2.3144860899869215,2.305093574367687,1.6306935405459486,1.6243449412971724
2019-09-04,2.385725976533908,2.322439650433612,2.3130148581284007,1.6362972984172406,1.6299268826762006
2019-09-05,2.4224923015147386,2.358230672443719,2.3486606350516124,1.6615142088380543,1.655045618881827
2019-09-06,2.438832890395108,2.3741377933371,2.36450320257304,1.6727217245806383,1.6662095016398832
2019-09-09,2.5246209820170464,2.45765017802735,2.4476766820605342,1.7315611822292034,1.7248198861196782
2019-09-10,2.504195245916585,2.4377662769106236,2.42787347265875,1.7175517875509736,1.710865032672108
2019-09-11,2.4755992153759387,2.409928815347207,2.400148979496252,1.6979386350014518,1.6913282378455097
2019-09-12,2.483769509816123,2.4178823757938974,2.4080702632569655,1.7035423928727436,1.6969101792245376
2019-09-16,2.483769509816123,2.4178823757938974,2.4080702632569655,1.7035423928727436,1.6969101792245376
2019-09-17,2.430662595954923,2.3661842328904092,2.3565819188123265,1.667117966709346,1.660627560260855
2019-09-18,2.4224923015147386,2.3582306724437188,2.348660635051613,1.6615142088380541,1.6550456188818268
2019-09-19,2.4592586264955694,2.3940216944538255,2.3843064119748245,1.6867311192588677,1.680164355087453
2019-09-20,2.451088332055385,2.386068134007135,2.376385128214111,1.6811273613875757,1.6745824137084249
2019-09-23,2.4224923015147386,2.3582306724437183,2.348660635051613,1.661514208838054,1.6550456188818266
2019-09-24,2.451088332055385,2.386068134007135,2.376385128214111,1.6811273613875757,1.6745824137084249
2019-09-25,2.429998710945226,2.365537958806539,2.3559382674011324,1.666662628058339,1.6601739943295806
2019-09-26,2.4323285275424893,2.3678059721898626,2.358197076861728,1.66826057880432,1.6617657239502226
2019-09-27,2.4253390777507002,2.3610019320398914,2.3514206484799414,1.6634667265663765,1.6569905350882965
2019-09-30,2.4113601781671226,2.3473938517399495,2.337867791716368,1.6538790220904895,1.6474401573644446
