date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict
2024-05-29,6.213292949100341,5.4625129275297315,5.23313512038442,4.646311752949907,5.966883973335479,5.92770407842344,6.213292949100341
2024-05-30,6.087006507045455,5.351486242010834,5.1267705854172565,4.551874522198892,5.84560584379614,5.807222288211581,6.087006507045455
2024-05-31,6.0785874109084626,5.344084462976241,5.119679616419446,4.545578706815491,5.837520635160184,5.799190168864124,6.0785874109084626
2024-06-03,6.162778372278386,5.418102253322172,5.190589306397555,4.608536860649501,5.918372721519743,5.879511362338697,6.162778372278386
2024-06-04,6.230131141374325,5.477316485598918,5.247317058380042,4.658903383716709,5.983054390607391,5.943768317118355,6.230131141374325
2024-06-05,6.162778372278386,5.418102253322172,5.190589306397555,4.608536860649501,5.918372721519743,5.879511362338697,6.162778372278386
2024-06-06,6.288243915641711,5.528407233015902,5.296262440877364,4.625239241674803,6.038862507859023,5.999209985788294,6.288243915641711
2024-06-07,6.288243915641711,5.528407233015902,5.296262440877364,4.621076526357296,6.038862507859023,5.999209985788294,6.288243915641711
2024-06-11,6.300210126708581,5.538927513192904,5.306340961221562,4.629870201954549,6.05035415868273,6.010626179862103,6.300210126708581
2024-06-12,6.354058076509512,5.586268773989427,5.351694302770467,4.6694417421421965,6.102066587389422,6.061999053194261,6.354058076509512
2024-06-13,6.479703292711675,5.696731715847973,5.45751876638457,4.761775335913368,6.222728921038364,6.181869090969286,6.479703292711675
2024-06-14,6.479703292711675,5.696731715847973,5.45751876638457,4.761775335913368,6.222728921038364,6.181869090969286,6.479703292711675
2024-06-17,6.50961882037886,5.723032416290486,5.482715067245074,4.783759524906507,6.251458048097638,6.210409576153819,6.50961882037886
2024-06-18,6.593382297846969,5.796674377529517,5.553264709654477,4.845315254087288,6.3318996038636,6.290322934670503,6.593382297846969
2024-06-19,6.5879679748075635,5.79191429139824,5.548704505543269,4.8413364006205395,6.3267000039678685,6.285157476510795,6.5879679748075635
2024-06-20,6.592991792517434,5.7963310587083505,5.552935807223603,4.845028281279627,6.331524585332945,6.2899503785954085,6.592991792517434
2024-06-21,6.5878141844695035,5.791779084235683,5.548574975899991,4.8412233838656675,6.326552312701588,6.285010755018406,6.5878141844695035
2024-06-24,6.593709480761701,5.796962025466936,5.553540278892221,4.845555692802353,6.33221381124224,6.290635078893209,6.593709480761701
2024-06-25,6.600886363204377,5.803271693052809,5.559584995578415,4.850829808029624,6.339106070335209,6.297482081871231,6.600886363204377
2024-06-26,6.698373548434769,5.888979064965252,5.641693406850163,4.922470754108103,6.43272707419292,6.39048834927536,6.698373548434769
2024-06-27,6.692250720693965,5.883596085929631,5.636536465893259,4.917971237879482,6.426847067726561,6.384646952246769,6.692250720693965
2024-06-28,6.6931260096418805,5.88436560979282,5.637273676478909,4.918614466301479,6.427687644154896,6.385482009262245,6.6931260096418805
2024-07-01,6.671874699613588,5.865682190757621,5.619374797772516,4.902997398763465,6.407279126118006,6.365207498120003,6.671874699613588
2024-07-02,6.682500354627734,5.87502390027522,5.628324237125712,4.9108059325324716,6.417483385136451,6.375344753691124,6.682500354627734
2024-07-03,6.8205510326855325,5.9963932964589555,5.7445971792926755,5.012255996553326,6.55005920043427,6.507050046529573,6.8205510326855325
2024-07-04,6.844673229087605,6.017600699806292,5.764914057026692,5.029982808212225,6.573224750214765,6.530063486128264,6.844673229087605
2024-07-05,6.898948170992265,6.065317357337795,5.810627031928225,5.069868134444745,6.625347237220873,6.581843725225316,6.898948170992265
2024-07-08,6.965284211097961,6.123637716542968,5.866498445696767,5.118616866506715,6.689052499117229,6.645130684121715,6.965284211097961
2024-07-09,6.975542220461828,6.132656204681203,5.8751382361439655,5.126155226486773,6.698903692707006,6.65491719257075,6.975542220461828
2024-07-10,6.975271413959078,6.132418120941349,5.874910149840619,5.125956217416859,6.6986436259446025,6.654658833464883,6.975271413959078
2024-07-11,6.979875124505848,6.136465544518886,5.878787616997527,5.1293393716054085,6.703064760905473,6.659050938264629,6.979875124505848
2024-07-12,6.715526583524348,5.90405942198218,5.656140520656612,4.9350760997135845,6.449199848132364,6.406852959296292,6.715526583524348
