date,nav,drawdown,signal,holding,exposure,current_momentum,effective_momentum,absolute_momentum_threshold
2023-08-16,4.778079977949425,-0.004652983014411083,159985,159985,0.8,0.08975609756097569,0.004801920768307211,0.05
2023-08-17,4.839193460235698,0.0,159985,159985,1.0,0.11547911547911549,0.11547911547911549,0.05
2023-08-18,4.8946203456833315,0.0,159985,159985,1.0,0.12770137524557956,0.12770137524557956,0.05
2023-08-21,4.994815100146361,0.0,159985,159985,1.0,0.1395914396887159,0.1395914396887159,0.05
2023-08-22,4.843457066808592,-0.030303030303030387,159985,159985,1.0,0.10344827586206873,0.10344827586206873,0.05
2023-08-23,4.839193460235698,-0.031156636790439562,159985,159985,1.0,0.07787274453941118,0.07787274453941118,0.05
2023-08-24,4.873302312818858,-0.02432778489116505,159985,159985,1.0,0.0777934936350777,0.0777934936350777,0.05
2023-08-25,4.975628870568336,-0.003841229193341511,159985,159985,1.0,0.10984308131241072,0.10984308131241072,0.05
2023-08-28,5.024157880122012,0.0,159985,159985,0.8,0.11865211200759362,0.021802325581395277,0.05
2023-08-29,5.049231987699297,0.0,159985,159985,1.0,0.10531220876048453,0.10531220876048453,0.05
2023-08-30,5.038084722459001,-0.0022077150084316433,159985,159985,0.8,0.09532623785284589,0.003512880562060783,0.05
2023-08-31,5.046093936232613,-0.0006214908473860525,159985,159985,1.0,0.08508691674290936,0.08508691674290936,0.05
2023-09-01,4.992410687222222,-0.01125345411252654,159985,159985,0.8,0.08607126330402592,0.002331002331002141,0.05
2023-09-04,4.918744955421637,-0.02584294653039243,159985,159985,1.0,0.07112970711297062,0.07112970711297062,0.05
2023-09-05,4.97211675398307,-0.015272666002293267,159985,159985,1.0,0.0717901518637829,0.0717901518637829,0.05
2023-09-06,5.048467246697141,-0.0001514568956266782,159985,159985,0.8,0.08585858585858608,0.007001166861143604,0.05
2023-09-07,5.053590426989772,0.0,159985,159985,0.8,0.09986065954482104,0.01660735468564667,0.05
2023-09-08,4.9784694882101945,-0.014864864864864824,159985,159985,0.8,0.06850574712643676,0.010588235294117565,0.05
2023-09-11,5.017885941989484,-0.007065171884448773,159985,159985,0.8,0.091120409112041,0.01423487544483959,0.05
