base_pool,plus_510500_risk,plus_588000_risk,plus_510050_risk,plus_511380_defensive,plus_513660_defensive,plus_513300_defensive
1.0726351215286252,1.0726351215286252,1.0726351215286252,1.0746696122153463,1.0726351215286252,1.0726351215286252,1.0726351215286252
1.0724903157872188,1.0724903157872188,1.0724903157872188,1.0745245318176972,1.0724903157872188,1.0724903157872188,1.0724903157872188
1.0732696340097632,1.0732696340097632,1.0732696340097632,1.0753053281902984,1.0732696340097632,1.0732696340097632,1.0732696340097632
1.074047425270606,1.074047425270606,1.074047425270606,1.0760845947049762,1.074047425270606,1.074047425270606,1.074047425270606
1.0736038416303413,1.0736038416303413,1.0736038416303413,1.0756401697098399,1.0736038416303413,1.0736038416303413,1.0736038416303413
1.0688299846401734,1.0688299846401734,1.0688299846401734,1.0708572580398548,1.0688299846401734,1.0688299846401734,1.0688299846401734
1.0695042465463716,1.0695042465463716,1.0695042465463716,1.071532798833478,1.0695042465463716,1.0695042465463716,1.0695042465463716
1.0605293857361922,1.0605293857361922,1.0605293857361922,1.0625409152069034,1.0605293857361922,1.0605293857361922,1.0605293857361922
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.059582633697759,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.0590528423809102,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.070609966652924,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.059582633697759,1.0853190339082148,1.059582633697759,1.061592367443003,1.059582633697759,1.059582633697759,1.059582633697759
1.0590528423809102,1.0989774535024133,1.0590528423809102,1.0610615712592815,1.0590528423809102,1.0590528423809102,1.0590528423809102
1.0590528423809102,1.1115852254355194,1.0590528423809102,1.0610615712592815,1.0590528423809102,1.0590528423809102,1.0590528423809102
1.0602682817562517,1.103180044146782,1.0602682817562517,1.0622793159852868,1.0602682817562517,1.0602682817562517,1.0602682817562517
1.0489241809197307,1.0947748628580447,1.0489241809197307,1.0509136985425707,1.0489241809197307,1.0489241809197307,1.0489241809197307
1.0545962313379913,1.1105345777744273,1.0545962313379913,1.056596507263929,1.0545962313379913,1.0545962313379913,1.0545962313379913
1.0521653525873083,1.1210410543853488,1.0521653525873083,1.0541610178119183,1.0521653525873083,1.0521653525873083,1.0521653525873083
1.0740432613434554,1.1252436450297174,1.0740432613434554,1.0760804228800136,1.0740432613434554,1.0740432613434554,1.0740432613434554
1.0698617447458223,1.1315475309962704,1.0698617447458223,1.0718909751076469,1.0698617447458223,1.0698617447458223,1.0698617447458223
1.0698617447458223,1.1346994739795473,1.0698617447458223,1.0718909751076469,1.0698617447458223,1.0698617447458223,1.0698617447458223
1.0693268138734495,1.1304968833351787,1.0693268138734495,1.071355029620093,1.0693268138734495,1.0693268138734495,1.0693268138734495
1.0708435749395773,1.1231423497075332,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
1.0708435749395773,1.1000281011635058,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
1.0708435749395773,1.1042306918078744,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
1.0708435749395773,1.0842683862471232,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
1.0708435749395773,1.0637739276460283,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
1.0708435749395773,1.0637739276460283,1.0708435749395773,1.0728746675603797,1.0708435749395773,1.0708435749395773,1.0708435749395773
