date,entry_risk_score,entry_risk_level
2015-07-30,,
2015-07-31,,
2015-08-03,,
2015-08-04,,
2015-08-05,,
2015-08-06,,
2015-08-07,9.12392421420018,低
2015-08-10,9.746277976169235,低
2015-08-11,35.236361251123164,低
2015-08-12,51.71267639390671,中
2015-08-13,40.60982573140727,中
2015-08-14,,
2015-08-17,18.805096239154533,低
2015-08-18,19.070163751048014,低
2015-08-19,20.610094644954593,低
2015-08-20,27.932104228677208,低
2015-08-21,34.850881556547066,低
2015-08-24,40.34633811766453,中
2015-08-25,39.92001207640152,低
2015-08-26,38.64194167175966,低
2015-08-27,29.569264051109567,低
2015-08-28,37.34316720004765,低
2015-08-31,34.1608394496323,低
2015-09-01,41.73843059294564,中
2015-09-02,40.1961177893574,中
2015-09-07,32.86161111834686,低
2015-09-08,32.53366800968297,低
2015-09-09,31.23905074785397,低
2015-09-10,25.069118744140695,低
2015-09-11,25.563375178725245,低
2015-09-14,24.521137001832923,低
2015-09-15,23.443308882911907,低
2015-09-16,22.436887577835115,低
2015-09-17,23.087182532838163,低
2015-09-18,,
2015-09-21,22.386759584307597,低
2015-09-22,21.158718353412862,低
2015-09-23,19.495243553380604,低
2015-09-24,22.977419148529854,低
2015-09-25,25.085318813359624,低
2015-09-28,,
2015-09-29,,
2015-09-30,14.851384982140559,低
2015-10-08,50.36993868002675,中
2015-10-09,50.57382901379016,中
2015-10-12,55.61562624717804,中
2015-10-13,35.56636755697154,低
2015-10-14,41.26308742428779,中
2015-10-15,41.8206796185426,中
2015-10-16,41.304077233519806,中
2015-10-19,59.51229823463464,中
2015-10-20,58.681166816476285,中
2015-10-21,38.42900298088747,低
2015-10-22,42.29966532129404,中
2015-10-23,52.5117081818131,中
2015-10-26,63.30754346267098,中
2015-10-27,68.02259584485569,中
2015-10-28,47.69004300230814,中
2015-10-29,54.78118040831574,中
2015-10-30,55.12167054251095,中
2015-11-02,38.79180511543006,低
2015-11-03,45.48765101054437,中
2015-11-04,59.27197122225459,中
2015-11-05,64.38654045862542,中
2015-11-06,74.82726244957298,高
2015-11-09,77.81690520013491,高
2015-11-10,77.93033068488154,高
2015-11-11,77.21052874827265,高
2015-11-12,71.00553700664233,高
2015-11-13,65.58968742598485,中
2015-11-16,59.214970098568955,中
2015-11-17,59.343090670109824,中
2015-11-18,57.748203379725226,中
2015-11-19,58.45611395817345,中
2015-11-20,52.2939447356535,中
2015-11-23,49.79549511414943,中
2015-11-24,30.577774718193623,低
2015-11-25,59.29376369266235,中
2015-11-26,52.34671288125574,中
2015-11-27,20.15132982869819,低
2015-11-30,17.96691210551741,低
2015-12-01,21.126270076266287,低
2015-12-02,39.01878424643147,低
2015-12-03,39.92816567970656,低
2015-12-04,15.843529835709969,低
2015-12-07,38.15931411102238,低
2015-12-08,30.950124125832655,低
2015-12-09,16.788756222719805,低
2015-12-10,17.33923247051006,低
2015-12-11,17.309460720592757,低
2015-12-14,,
2015-12-15,,
2015-12-16,19.881260728892997,低
2015-12-17,20.55186925447982,低
2015-12-18,19.72504938242736,低
2015-12-21,20.888595761630402,低
2015-12-22,25.882582777995566,低
2015-12-23,26.5049482620206,低
2015-12-24,25.71660519709664,低
2015-12-25,25.377231557433184,低
2015-12-28,26.479972465123424,低
2015-12-29,27.231768964594373,低
2015-12-30,25.224939838555066,低
2015-12-31,23.36649375703482,低
2016-01-04,27.922533827561775,低
2016-01-05,33.29923953441141,低
2016-01-06,34.22506862862459,低
2016-01-07,46.63734760542201,中
2016-01-08,50.75274741126481,中
2016-01-11,50.27385805712474,中
2016-01-12,37.820915542676204,低
2016-01-13,35.62288875972245,低
2016-01-14,38.423248858277546,低
2016-01-15,35.952556489708776,低
2016-01-18,37.706548379366325,低
2016-01-19,36.36573039263975,低
2016-01-20,40.93061129401892,中
2016-01-21,46.233976866523264,中
2016-01-22,41.76748801304733,中
2016-01-25,44.8808143603013,中
2016-01-26,52.58371064792519,中
2016-01-27,49.336411426043355,中
2016-01-28,45.89014962745906,中
2016-01-29,46.38247274154246,中
2016-02-01,51.52899200675702,中
2016-02-02,54.375461845203255,中
2016-02-03,56.30118591710925,中
2016-02-04,62.43126217004264,中
2016-02-05,71.20049525244931,高
2016-02-15,87.61235537351072,高
2016-02-16,79.86008162465158,高
2016-02-17,82.2011580803845,高
2016-02-18,77.08259557550481,高
2016-02-19,85.6249099376204,高
2016-02-22,80.24820423077085,高
2016-02-23,84.17916446030254,高
2016-02-24,89.4596566001449,高
2016-02-25,91.21733377439631,高
2016-02-26,91.695289266039,高
2016-02-29,86.70628600452626,高
2016-03-01,92.18491564670857,高
2016-03-02,85.50570104462982,高
2016-03-03,87.37295253965769,高
2016-03-04,92.09560039695668,高
2016-03-07,91.51881246473185,高
2016-03-08,89.78828977836586,高
2016-03-09,85.77233312223854,高
2016-03-10,68.02725452406406,中
2016-03-11,85.43554447767292,高
2016-03-14,65.74187939579623,中
2016-03-15,71.38526073904798,高
2016-03-16,73.99901721863819,高
2016-03-17,76.56643119083945,高
2016-03-18,74.06216436422606,高
2016-03-21,86.79622891167715,高
2016-03-22,65.74612775495461,中
2016-03-23,60.059786366482314,中
2016-03-24,53.13618615681642,中
2016-03-25,53.08981223165844,中
2016-03-28,53.13622508326529,中
2016-03-29,53.87953901883385,中
2016-03-30,56.182127614742306,中
2016-03-31,81.24072391859964,高
2016-04-01,80.4868581893266,高
2016-04-05,89.44825352219577,高
2016-04-06,85.46458222208186,高
2016-04-07,63.590862208310654,中
2016-04-08,48.50796117220615,中
2016-04-11,50.069353925686976,中
2016-04-12,52.01883553422954,中
2016-04-13,61.909937436355314,中
2016-04-14,70.69005006392672,高
2016-04-15,75.71339446296315,高
2016-04-18,67.5756476947188,中
