date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2020-05-28,2.06670019489387,0.02257522123893807,0.11935483870967722,513880,513880,1.0,1.0,0.001,2.0,-0.060642644062638085
2020-05-29,2.0587589837703586,-0.003842459173871271,0.12962962962962954,513880,513880,1.0,1.0,0.0,0.0,-0.0642520863525029
2020-06-01,2.0786120115791373,0.009643201542912205,0.15308370044052855,513880,513880,1.0,1.0,0.0,0.0,-0.05522848062784047
2020-06-02,2.100450342168794,0.010506208213944657,0.15125136017410235,513880,513880,1.0,1.0,0.0,0.0,-0.04530251433071175
2020-06-03,2.1262592783202066,0.012287334593572785,0.17305585980284777,513880,513880,1.0,1.0,0.0,0.0,-0.03357182688865057
2020-06-04,2.1262592783202066,0.0,0.14790996784565902,513880,513880,1.0,1.0,0.0,0.0,-0.03357182688865057
2020-06-05,2.1183180671966952,-0.0037348272642390157,0.13390010626992566,513880,513880,1.0,1.0,0.0,0.0,-0.037181269178515386
2020-06-08,2.1322151866628403,0.006560449859418949,0.11875000000000013,513880,513880,1.0,1.0,0.0,0.0,-0.030864745171251706
2020-06-09,2.1480976089098633,0.007448789571694592,0.12591050988553598,513880,513880,1.0,1.0,0.0,0.0,-0.02364586059152174
2020-06-10,2.1540535172524966,0.0027726432532346745,0.1433087460484721,513880,513880,1.0,1.0,0.0,0.0,-0.02093877887412321
2020-06-11,2.1282445811010846,-0.011981566820276401,0.13319238900634267,513880,513880,1.0,1.0,0.0,0.0,-0.03266946631618417
2020-06-12,2.086553222702649,-0.019589552238806096,0.09138110072689498,513880,513880,1.0,1.0,0.0,0.0,-0.05161903833797543
2020-06-15,2.034935350399824,-0.024738344433872572,0.07487309644670037,159949,513880,1.0,1.0,0.0,0.0,-0.0750804132220978
2020-06-16,2.076102549017417,0.020230224321133417,0.10144927536231885,513880,159949,1.0,1.0,0.001,2.0,-0.05636908250257078
2020-06-17,2.081823538372416,0.0027556390977443446,0.10103092783505163,513880,513880,1.0,1.0,0.001,2.0,-0.05376877625247456
2020-06-18,2.0603815356363704,-0.010299625468164875,0.11263157894736842,513880,513880,1.0,1.0,0.0,0.0,-0.06351460346335736
2020-06-19,2.0759757194444033,0.007568590350047311,0.11221945137157108,159949,513880,1.0,1.0,0.0,0.0,-0.05642672912817004
2020-06-22,2.1017997402773125,0.012439461883408054,0.1385390428211586,159949,159949,1.0,1.0,0.001,2.0,-0.04468918539095723
2020-06-23,2.1436497351058432,0.019911504424778848,0.14534161490683228,159949,159949,1.0,1.0,0.0,0.0,-0.025667509878830153
2020-06-24,2.1413247353931473,-0.0010845986984815426,0.15703517587939708,159949,159949,1.0,1.0,0.0,0.0,-0.026724269629503805
2020-06-29,2.120399737978882,-0.009771986970684043,0.1515151515151516,159949,159949,1.0,1.0,0.0,0.0,-0.036235107385567344
2020-06-30,2.192474729072462,0.033991228070175294,0.22308690012970156,159949,159949,1.0,1.0,0.0,0.0,-0.003475555114682116
2020-07-01,2.166899732232805,-0.0116648992576881,0.20258064516129037,159949,159949,1.0,1.0,0.0,0.0,-0.01509991237209285
2020-07-02,2.1808497305089816,0.006437768240343145,0.17543859649122795,159949,159949,1.0,1.0,0.0,0.0,-0.008759353868050601
2020-07-03,2.2133997264867276,0.014925373134328401,0.21583652618135374,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-06,2.2854747175803083,0.03256302521008414,0.2651222651222651,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-07,2.3389497109723196,0.02339776195320442,0.2815286624203821,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-08,2.4319496994801657,0.03976143141153088,0.2818627450980393,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-09,2.4993746911483536,0.027724665391969383,0.32552404438964233,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-10,2.5202996885626194,0.008372093023256033,0.3432465923172243,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-13,2.650499672473603,0.051660516605165796,0.4056720098643647,159949,159949,1.0,1.0,0.0,0.0,0.0
2020-07-14,2.613299677070465,-0.014035087719298067,0.37240537240537264,159949,159949,1.0,1.0,0.0,0.0,-0.014035087719298067
2020-07-15,2.566799682816542,-0.017793594306049876,0.3596059113300494,159949,159949,1.0,1.0,0.0,0.0,-0.03157894736842093
