date,baseline_raw,slope_060,slope_065,slope_070,slope_075,slope_080,slope_085,slope_090,slope_095,slope_100
2017-04-05,1.8570900508866774,1.8393185011254953,1.8507045902234336,1.8910808425009387,1.8910808425009387,1.8910808425009387,1.8885027764176678,1.864707926628269,1.8788192022437882,1.8758554535061773
2017-04-06,1.85741102415851,1.839636402821736,1.851024459853469,1.891407690628216,1.891407690628216,1.891407690628216,1.8888291789605722,1.8650302165484245,1.8791439311099185,1.8761796701278266
2017-04-07,1.8707067365719567,1.8528048810094364,1.8642744559869944,1.9049467578481747,1.9049467578481747,1.9049467578481747,1.9023497886882785,1.8783804686353853,1.892595211933898,1.8896097321903023
2017-04-10,1.8648669993311502,1.8470210275320036,1.8584547982315187,1.8990001344111176,1.8990001344111176,1.8990001344111176,1.8964112721432422,1.8725167765020077,1.8866871460009365,1.8837109859528864
2017-04-11,1.8680548061676137,1.8501783284337676,1.8616316440404614,1.902246288487034,1.902246288487034,1.902246288487034,1.8996530008135726,1.8757176598806435,1.8899122522334166,1.8869310047322931
2017-04-12,1.8829248941769081,1.8649061161227927,1.8764506024009826,1.917388547499866,1.917388547499866,1.917388547499866,1.914774616740447,1.8906487457304397,1.9049563298631353,1.90195135103862
2017-04-13,1.8887552034903345,1.8706806318940388,1.8822608646462782,1.92332557044779,1.92332557044779,1.92332557044779,1.9207035458844712,1.8965029712626105,1.9108548575558857,1.9078405740819488
2017-04-14,1.8919329199210229,1.8738279389508532,1.8854276547445263,1.9265614494306675,1.9265614494306675,1.9265614494306675,1.9239350134695556,1.8996937228441249,1.9140697553183352,1.911050400494705
2017-04-17,1.8882271401548258,1.870157621896595,1.881734617015751,1.9227878418347208,1.9227878418347208,1.9227878418347208,1.920166550344187,1.895972741785039,1.9103206155387682,1.907307174806433
2017-04-18,1.8834602273185304,1.865436326357445,1.8769840948409566,1.917933678980159,1.917933678980159,1.917933678980159,1.9153190050558004,1.8911862748352308,1.9054979267477867,1.9024920935797125
2017-04-19,1.8824002426672082,1.8643864853014578,1.8759277548649647,1.9168542931601211,1.9168542931601211,1.9168542931601211,1.9142410907370917,1.890121942074156,1.9044255395923888,1.9014213980645078
2017-04-20,1.8788994155210776,1.8609191595592052,1.872438965042506,1.9132893894841825,1.9132893894841825,1.9132893894841825,1.9106810470105802,1.8866067543609761,1.9008837505107306,1.8978851959881917
2017-04-21,1.8739418771365874,1.856009062676031,1.8674984727707369,1.9082411120135256,1.9082411120135256,1.9082411120135256,1.905639651737994,1.8816288799074952,1.8958682057296934,1.8928775629926502
2017-04-24,1.862275312920951,1.8444541424414722,1.8558720231348103,1.8963610117052703,1.8963610117052703,1.8963610117052703,1.8937757472913763,1.8699144588652696,1.8840651351881856,1.8810931112386104
2017-04-25,1.8634167781421649,1.8455846843334864,1.8570095635160493,1.897523369454798,1.897523369454798,1.897523369454798,1.8949365204258926,1.871060606433586,1.885219956288695,1.8822461106632637
2017-04-26,1.8563271245515507,1.8370372668428077,1.8484092342229574,1.8887354094252602,1.8887354094252602,1.8887354094252602,1.8861605408157975,1.862395202841268,1.8764889767975113,1.8735289038807121
2017-04-27,1.860579269718741,1.8410611017002119,1.8524579781660768,1.8928724835685196,1.8928724835685196,1.8928724835685196,1.8902919749830742,1.8664745815619483,1.8805992264318856,1.8776326697900156
2017-04-28,1.867032730748913,1.8474468635257661,1.8588832703138998,1.8994379543370081,1.8994379543370081,1.8994379543370081,1.8968484951995142,1.8729484906137983,1.8871221271320446,1.8841452809217625
2017-05-02,1.8540994258657613,1.831679180480027,1.8430179792443644,1.8832265350965784,1.8832265350965784,1.8832265350965784,1.8806591766060616,1.856963154989783,1.8710158216373187,1.86806438236482
2017-05-03,1.8540994258657613,1.831496012561979,1.84283367744644,1.883038212443069,1.883038212443069,1.883038212443069,1.8804711106884011,1.856777458674284,1.870828720055155,1.8678775759265835
2017-05-04,1.8312224458622528,1.8088979268976564,1.8200957009384928,1.8598041685018778,1.8598041685018778,1.8598041685018778,1.8572687411734512,1.8338674355113016,1.8477453240831692,1.8448305929237594
2017-05-05,1.8322898250656696,1.8099522936310029,1.8211565946075279,1.860888207361478,1.860888207361478,1.860888207361478,1.8583513021883427,1.8349363564208891,1.8488223341081356,1.8459059040161738
2017-05-08,1.8274873180614932,1.8052083342155887,1.8163832682583565,1.8560107428208874,1.8560107428208874,1.8560107428208874,1.8534804869805686,1.8301269127491635,1.843976494717681,1.8410677087089602
2017-05-09,1.8290892061416058,1.8067906936027758,1.8179754230588754,1.8576376331725204,1.8576376331725204,1.8576376331725204,1.8551051594308074,1.8317311145718804,1.845592836422328,1.8426815007107507
2017-05-10,1.8210815189932297,1.7988806285450476,1.8100163916554801,1.8495049620313055,1.8495049620313055,1.8495049620313055,1.8469835753690893,1.8237118612428536,1.8375128969706434,1.8346143069827212
2017-05-11,1.8237536855654866,1.8015202186089434,1.8126723217973075,1.8522188357833689,1.8522188357833689,1.8522188357833689,1.8496937493608265,1.8263878874515738,1.8402091741488833,1.8373063309107955
2017-05-12,1.8280275865496018,1.805742016265149,1.816920254005108,1.8565594438203565,1.8565594438203565,1.8565594438203565,1.8540284399488562,1.8306679615928005,1.8445216379769875,1.8416119920304692
2017-05-15,1.8339007675505643,1.811543597040298,1.822757748797092,1.8625242934390565,1.8625242934390565,1.8625242934390565,1.8599851578282098,1.836549625726432,1.8504478119142629,1.8475288177076754
2017-05-16,1.8376352563863037,1.8152325585469982,1.8264695463946425,1.8663170701820595,1.8663170701820595,1.8663170701820595,1.8637727639677872,1.8402895086006386,1.8542159965494338,1.8512910582091893
2017-05-17,1.8435007588368653,1.8210265543813153,1.8322994092920935,1.8722741214035326,1.8722741214035326,1.8722741214035326,1.8697216940812857,1.8461634830930886,1.8601344226537624,1.85720014827529
2017-05-18,1.8557552436499432,1.8331316441936771,1.8444794342671569,1.884719874233672,1.884719874233672,1.884719874233672,1.882150479908994,1.858435668096309,1.872499478064467,1.8695456983938834
2017-05-19,1.8520317648378901,1.8294535584869467,1.8407785797949618,1.880938279358821,1.880938279358821,1.880938279358821,1.8783740403935907,1.8547068111484983,1.8687424027949717,1.8657945497335444
2017-05-22,1.8552249230531277,1.8326077887602,1.843952335967022,1.8841812763921981,1.8841812763921981,1.8841812763921981,1.8816126163253037,1.8579045815125474,1.871964372454963,1.8690114368882573
2017-05-23,1.86214045681648,1.8394390149261879,1.8508258500509136,1.8912047478167426,1.8912047478167426,1.8912047478167426,1.8886265128162656,1.8648301039669313,1.8789423041659064,1.8759783612408159
