date,baseline_threshold_dual_nav,overheat_cap_70_nav,overheat_cap_40_nav,overheat_cap_50_nav,hs300_benchmark
2024-01-18,3.7395778473327304,3.8346018368146844,3.917675768892325,3.891350936138384,1.2549923195084445
2024-01-19,3.781294253597797,3.877378271647677,3.961378924879969,3.934760428653075,1.2576804915514552
2024-01-22,3.8915447558697585,3.990430277992015,4.076880122847313,4.0494855160133305,1.2311827956989208
2024-01-23,3.873666296041873,3.972097520206447,4.0581501988526085,4.030881447792749,1.239631336405526
2024-01-24,3.805132200034978,3.901821948695102,3.986352156872908,3.959565852947184,1.259216589861747
2024-01-25,3.7698786536232785,3.8656725972593633,3.9494196553492014,3.9228815194657427,1.280721966205833
2024-01-26,3.817074448841616,3.9140676542477477,3.9988631569605837,3.971992785336479,1.2784178187403952
2024-01-29,3.849806365016309,3.94763129993451,4.033153935252169,4.006053146652087,1.2668970814132061
2024-01-30,3.9141037573339093,4.013562511624439,4.10051349993279,4.0729600885585935,1.2453917050691201
2024-01-31,3.825694842897209,3.9229070955507863,4.007894098496936,3.980963043437147,1.237327188940088
2024-02-01,3.790266347517358,3.886578349632031,3.9707783160358345,3.944096660575057,1.2357910906297962
2024-02-02,3.79667694599096,3.8931518436694637,3.977494220164436,3.9507674371679955,1.2242703533026074
2024-02-05,3.8208329580865845,3.9179216685356764,4.00280066573759,3.9759038360127805,1.2319508448540666
2024-02-06,3.832649967235306,3.9300389520466115,4.015180461611005,3.988200445814882,1.2715053763440816
2024-02-07,3.8011379428387158,3.897726196017451,3.9821676726152315,3.9554094863426115,1.2826420890936976
2024-02-08,3.891735012978913,3.990625369601287,4.077079440978082,4.049683494825389,1.2910906298003029
2024-02-19,3.8641619916318963,3.9623517080757718,4.048193250606779,4.020991405287152,1.3014592933947726
2024-02-20,3.831618053788554,3.92898081731593,4.014099403141045,3.987126651520187,1.306067588325648
2024-02-21,3.82301412103304,3.9201582556004,4.005085706876506,3.9781735228116832,1.3245007680491505
2024-02-22,3.920525358928857,4.020147288376404,4.10724093120794,4.079642314841388,1.3344854070660475
2024-02-23,3.9606770451212516,4.061319243048876,4.149304847109119,4.121423582147737,1.3356374807987665
2024-02-26,3.9130615234935453,4.012493794255311,4.099421629559019,4.0718755550107035,1.3221966205837128
2024-02-27,3.9051242790239846,4.004354861609763,4.09110637270393,4.063616172546179,1.3379416282642043
2024-02-28,3.9130615234935453,4.012493794255311,4.099421629559019,4.0718755550107035,1.3241167434715775
2024-02-29,3.8813125456153013,3.979938063673118,4.066160602138662,4.038838025152605,1.3452380952380905
2024-03-01,3.9651047328692197,4.065859439901125,4.153943404109559,4.12603097035207,1.3556067588325604
2024-03-04,4.02732463595276,4.129660372624253,4.21912653883881,4.190776106834057,1.3544546850998418
2024-03-05,4.044293700430089,4.147060627003287,4.2369037574013335,4.208433871329144,1.3655913978494576
2024-03-06,4.024342913002376,4.126602883044094,4.21600281091305,4.187673368806406,1.3602150537634359
